"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"64","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
"
"65","5","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.18","0.527433","1.03605509000945e+21","0.845","1","0.056","0.105","25.8198175430298"
"66","6","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.11","0.774047","0.389543398021886","0","0",NA,"0","3.72606778144836"
"67","7","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.15","0.642954","0.388032014320446","0","0",NA,"0","3.55378365516663"
"68","8","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.11","0.3953445","0.429837229592239","0","0",NA,"0","3.13185739517212"
"69","9","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.16","0.5615885","0.382020294178337","0.494","0.667","0.083","0.148","2.18533802032471"
"70","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
"
"71","11","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.13","0.77734","0.41024641395069","0","0",NA,"0","3.1534309387207"
"72","12","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.12","0.6876875","18643028734.3062","0.918","1","0.046","0.087","12.5158250331879"
"73","13","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.13","0.86125","0.398227457926066","0.33","0.875","0.104","0.187","3.92213082313538"
