"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"829","27","300","50","community","species","species_2","ZIPLN","BIC","0.1","0.857656","0.675322684502723","0.06","0.568","0.4","0.469","6.21562337875366"
"830","28","300","50","community","species","species_2","PLN","BIC","0.15","0.65701","0.583125262860432","0","0",NA,"0","9.87472987174988"
"831","28","300","50","community","species","species_2","ZIPLN","BIC","0.09","0.8393675","0.760953228607798","0.036","0.446","0.446","0.446","6.93275451660156"
"832","29","300","50","community","species","species_2","PLN","BIC","0.14","0.7382535","0.601472142237052","0.01","0.143","0.522","0.224","5.24952816963196"
"833","29","300","50","community","species","species_2","ZIPLN","BIC","0.09","0.838961","0.714878973144646","0.065","0.571","0.393","0.466","4.58759307861328"
"834","30","300","50","community","species","species_2","PLN","BIC","0.17","0.730145","0.573921131277694","0","0",NA,"0","8.7175624370575"
"835","30","300","50","community","species","species_2","ZIPLN","BIC","0.11","0.85864","0.727648461035654","0.04","0.575","0.526","0.549","4.0147762298584"
"836","1","300","50","community","species","species_3","PLN","BIC","0.15","0.5175265","0.455788086557068","0.004","0.015","0.167","0.028","1.04374141693115"
"837","1","300","50","community","species","species_3","ZIPLN","BIC","0.09","0.582954","0.591574607075009","0","0.046","1","0.088","6.85263466835022"
"838","2","300","50","community","species","species_3","PLN","BIC","0.15","0.5257205","0.515616991684867","0.011","0","0","0","18.5693991184235"
"839","2","300","50","community","species","species_3","ZIPLN","BIC","0.09","0.5838025","0.624059071651026","0.007","0.154","0.556","0.241","7.15721821784973"
"840","3","300","50","community","species","species_3","PLN","BIC","0.15","0.511194","0.510073573667439","0.014","0","0","0","17.0029852390289"
"841","3","300","50","community","species","species_3","ZIPLN","BIC","0.09","0.7364035","0.64156284857175","0.029","0.342","0.431","0.382","6.12238216400146"
"842","4","300","50","community","species","species_3","PLN","BIC","0.16","0.594586","0.542497279241547","0","0",NA,"0","13.0647459030151"
"843","4","300","50","community","species","species_3","ZIPLN","BIC","0.1","0.724262","0.649193402573303","0.022","0.271","0.479","0.346","4.29678440093994"
"844","5","300","50","community","species","species_3","PLN","BIC","0.17","0.516498","0.47760192616518","0","0",NA,"0","18.2091183662415"
"845","5","300","50","community","species","species_3","ZIPLN","BIC","0.11","0.714447","0.575506672381244","0.056","0.337","0.304","0.32","7.25900673866272"
"846","6","300","50","community","species","species_3","PLN","BIC","0.17","0.5540995","0.490092591924153","0","0",NA,"0","18.8784594535828"
"847","6","300","50","community","species","species_3","ZIPLN","BIC","0.11","0.712542","0.636195416773555","0.013","0.145","0.444","0.218","7.71696352958679"
