"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"39","1","300","20","community","covar","covar_2","PLN_ZIvar","BIC","0.1","0.7461925","0.528389032761187","0","0",NA,"0","8.61094570159912"
"40","2","300","20","community","covar","covar_2","PLN","BIC","0.11","0.386439","0.449616689123251","0.634","0.667","0.083","0.147","5.65712809562683"
"41","2","300","20","community","covar","covar_2","ZIPLN","BIC","0.09","0.6257405","0.594340921378965","0","0",NA,"0","10.343522310257"
"42","2","300","20","community","covar","covar_2","PLN_ZIvar","BIC","0.09","0.663543","0.545250874535531","0","0",NA,"0","5.02425336837769"
"43","3","300","20","community","covar","covar_2","PLN","BIC","0.09","0.3179375","0.389670747747451","0.61","0.5","0.035","0.065","3.72573184967041"
"44","3","300","20","community","covar","covar_2","ZIPLN","BIC","0.15","0.499125","0.56731662838252","0","0.125","1","0.222","5.02974128723145"
"45","3","300","20","community","covar","covar_2","PLN_ZIvar","BIC","0.06","0.710625","0.485287180866315","0","0.125","1","0.222","4.94989061355591"
"46","1","300","20","preferential_attachment","covar","covar_2","PLN","BIC","0.14","0.316345","0.476195795761199","0.439","0.474","0.107","0.175","5.42210555076599"
"47","1","300","20","preferential_attachment","covar","covar_2","ZIPLN","BIC","0.1","0.606716","0.633825886462639","0","0",NA,"0","7.82757329940796"
"48","1","300","20","preferential_attachment","covar","covar_2","PLN_ZIvar","BIC","0.12","0.723882","0.574328632809815","0","0",NA,"0","9.31302618980408"
"49","2","300","20","preferential_attachment","covar","covar_2","PLN","BIC","0.16","0.263854","0.433582415961988","0.591","0.526","0.09","0.154","4.75969529151917"
"50","2","300","20","preferential_attachment","covar","covar_2","ZIPLN","BIC","0.13","0.603387","0.578114669427452","0","0",NA,"0","13.1357848644257"
"51","2","300","20","preferential_attachment","covar","covar_2","PLN_ZIvar","BIC","0.14","0.656324","0.519446481207178","0","0",NA,"0","4.62539029121399"
"52","3","300","20","preferential_attachment","covar","covar_2","PLN","BIC","0.16","0.3781095","0.431312514804337","0.433","0.526","0.119","0.194","7.87594246864319"
"53","3","300","20","preferential_attachment","covar","covar_2","ZIPLN","BIC","0.1","0.6886985","0.581201325738691","0.006","0.158","0.75","0.261","13.0796041488647"
"54","3","300","20","preferential_attachment","covar","covar_2","PLN_ZIvar","BIC","0.13","0.779045","0.526799296677974","0","0",NA,"0","8.57463240623474"
"55","1","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.11","0.5425625","0.422982219132125","0.577","0.875","0.062","0.117","4.68973731994629"
"56","1","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.1","0.718125","0.572685405872533","0","0.375","1","0.545","6.65594482421875"
"57","1","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.09","0.77025","0.517809245061285","0","0.375","1","0.545","9.11834526062012"
"58","2","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.08","0.4363125","0.463901344847683","0.67","0.75","0.047","0.088","9.32239413261414"
"59","2","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.06","0.6855","0.600211976109091","0","0",NA,"0","11.2412567138672"
"60","2","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.06","0.7145","0.549600539427744","0","0",NA,"0","8.05421447753906"
"61","3","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.04","0.497377","0.360002495250348","0.61","1","0.026","0.05","6.12054085731506"
"62","3","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.09","0.329083","0.510369592710703","0","0",NA,"0","9.18544888496399"
"63","3","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.02","0.6199385","0.44056880337342","0","0",NA,"0","13.3024196624756"
"64","1","300","20","community","covar","covar_3","PLN","BIC","0.17","0.369416","0.473375215587157","0.365","0.435","0.141","0.213","3.69696354866028"
"65","1","300","20","community","covar","covar_3","ZIPLN","BIC","0.12","0.587133","0.590967705927409","0.024","0.391","0.692","0.5","7.88563561439514"
"66","1","300","20","community","covar","covar_3","PLN_ZIvar","BIC","0.15","0.730302","0.555541776518518","0","0",NA,"0","4.9266357421875"
"67","2","300","20","community","covar","covar_3","PLN","BIC","0.1","0.26765","0.409315087253228","0.639","0.7","0.057","0.106","4.16864776611328"
"68","2","300","20","community","covar","covar_3","ZIPLN","BIC","0.07","0.64135","0.541900178765011","0","0.1","1","0.182","7.94525289535522"
"69","2","300","20","community","covar","covar_3","PLN_ZIvar","BIC","0.08","0.7316","0.507027516339772","0","0",NA,"0","4.46190929412842"
"70","3","300","20","community","covar","covar_3","PLN","BIC","0.1","0.239558","0.44851865842189","0.402","0.273","0.04","0.07","5.85760951042175"
"71","3","300","20","community","covar","covar_3","ZIPLN","BIC","0.11","0.473434","0.590519408150753","0","0.091","1","0.167","9.27533507347107"
"72","3","300","20","community","covar","covar_3","PLN_ZIvar","BIC","0.07","0.5639205","0.526430432033003","0","0",NA,"0","6.58992767333984"
"73","1","300","20","preferential_attachment","covar","covar_3","PLN","BIC","0.14","0.304226","0.468505140809","0.573","0.579","0.101","0.172","4.8852858543396"
"74","1","300","20","preferential_attachment","covar","covar_3","ZIPLN","BIC","0.1","0.6875945","0.619859763154927","0","0",NA,"0","7.67651748657227"
"75","1","300","20","preferential_attachment","covar","covar_3","PLN_ZIvar","BIC","0.11","0.7203475","0.560517952509579","0","0",NA,"0","4.63437390327454"
"76","2","300","20","preferential_attachment","covar","covar_3","PLN","BIC","0.15","0.3017105","0.437853188066527","0.684","0.526","0.079","0.137","7.34511733055115"
"77","2","300","20","preferential_attachment","covar","covar_3","ZIPLN","BIC","0.1","0.426354","0.587909339574207","0","0.053","1","0.1","6.5097017288208"
"78","2","300","20","preferential_attachment","covar","covar_3","PLN_ZIvar","BIC","0.12","0.594729","0.537528032852292","0","0",NA,"0","8.60937690734863"
"79","3","300","20","preferential_attachment","covar","covar_3","PLN","BIC","0.18","0.3061225","0.427488537053707","0.503","0.474","0.095","0.158","4.88725018501282"
"80","3","300","20","preferential_attachment","covar","covar_3","ZIPLN","BIC","0.12","0.7681875","0.586206363670503","0","0",NA,"0","7.3466968536377"
"81","3","300","20","preferential_attachment","covar","covar_3","PLN_ZIvar","BIC","0.15","0.7131575","0.515357587916889","0","0",NA,"0","4.80260324478149"
