"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.5271875","0.452524999672884","0.126","0.375","0.115","0.176","17.9046123027802"
"2","1","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.11","0.5843125","0.573051716532161","0.005","0.25","0.667","0.364","20.4676957130432"
"3","1","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.06","0.656","0.51248866498141","0","0.125","1","0.222","10.3501834869385"
"4","2","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.478067","0.432531855075003","0.098","0.571","0.182","0.276","33.2277455329895"
"5","2","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.1","0.609127","0.560317069292922","0","0",NA,"0","25.0018646717072"
"6","2","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.7345615","0.498925478932057","0","0",NA,"0","8.59201169013977"
"7","3","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.4411675","0.475399657904154","0.278","0.286","0.075","0.119","14.8017241954803"
"8","3","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.1","0.6020495","0.583515426364266","0.023","0.429","0.6","0.5","15.1666574478149"
"9","3","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.7235305","0.536759562104383","0.017","0.429","0.667","0.522","10.4339971542358"
"10","4","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.5248975","0.479836102355013","0.144","0.444","0.133","0.205","20.4325704574585"
"11","4","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.6022655","0.564072761783927","0.011","0.444","0.667","0.533","20.0546452999115"
"12","4","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.636604","0.534809943252914","0.017","0.444","0.571","0.5","18.3919904232025"
"13","5","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.12","0.3376505","0.454876280868787","0.179","0.182","0.059","0.089","12.2674851417542"
"14","5","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.11","0.726311","0.577715227704196","0","0",NA,"0","8.89085578918457"
"15","5","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.7653485","0.520738775235397","0","0",NA,"0","5.85058927536011"
"16","6","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.11","0.50575","0.459859945155858","0.106","0.4","0.174","0.242","38.3540399074554"
"17","6","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.31045","0.589524883394615","0","0",NA,"0","15.646163225174"
"18","6","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.59045","0.518108512493897","0","0",NA,"0","13.0090384483337"
"19","7","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.3688125","0.457611454727608","0.115","0.375","0.125","0.188","20.4341621398926"
"20","7","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.08","0.4678125","0.559435253706103","0.005","0.25","0.667","0.364","24.3075940608978"
"21","7","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.6340625","0.50775430512948","0","0.25","1","0.4","10.128350019455"
"22","8","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.350942","0.465309075450641","0.215","0.333","0.071","0.118","15.7181079387665"
"23","8","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.09","0.759286","0.609428588853141","0","0.111","1","0.2","17.0553202629089"
"24","8","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.6559785","0.542000198510165","0","0.111","1","0.2","10.5708072185516"
"25","9","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.3188155","0.468700504007309","0.215","0.385","0.116","0.179","27.5681221485138"
"26","9","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.23","0.566694","0.591195004867872","0","0",NA,"0","10.9633429050446"
"27","9","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.12","0.6881585","0.518824860871162","0.006","0.077","0.5","0.133","7.54571199417114"
"28","10","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.4376355","0.416260088206925","0.59","0.714","0.044","0.083","18.3841912746429"
"29","10","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.647481","0.557896843015142","0","0",NA,"0","19.6922805309296"
"30","10","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.816907","0.477776939742442","0.005","0","0","0","11.161200761795"
"31","11","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.4923275","0.44702122494956","0.491","0.667","0.104","0.18","9.60970139503479"
"32","11","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.381419","0.56359146598601","0.011","0.4","0.75","0.522","17.7832555770874"
"33","11","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.12","0.67953","0.51494688780677","0.006","0.333","0.833","0.476","7.4007875919342"
"34","12","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.494996","0.459647318628687","0.217","0.533","0.174","0.262","16.9358775615692"
"35","12","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.15","0.593965","0.587730505572966","0","0",NA,"0","24.5522718429565"
"36","12","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.750623","0.525586913929006","0","0",NA,"0","12.0680570602417"
"37","13","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.45892","0.474793196286182","0.131","0.286","0.077","0.121","17.5500400066376"
"38","13","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.04","0.641808","0.568405138157084","0","0.429","1","0.6","15.2751388549805"
"39","13","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.6177975","0.530134257831632","0","0.429","1","0.6","9.81895446777344"
"40","14","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.17875","0.471076196104788","0.154","0.125","0.034","0.054","30.3200714588165"
"41","14","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.16","0.64275","0.585307207974014","0","0.125","1","0.222","23.1763746738434"
"42","14","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.7084375","0.529276564145928","0","0",NA,"0","9.11326050758362"
"43","15","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.5574115","0.463269758148203","0.114","0.833","0.192","0.312","15.9933297634125"
"44","15","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.2835055","0.589079646207852","0","0",NA,"0","15.3872785568237"
"45","15","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.690848","0.515576804986196","0.011","0.5","0.6","0.545","12.3386292457581"
"46","16","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.07","0.4007","0.428147690430419","0.135","0.2","0.038","0.065","17.1957213878632"
"47","16","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.17","0.8363","0.560293447936398","0","0.2","1","0.333","8.5735137462616"
"48","16","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.8901","0.489192150860596","0.005","0.8","0.8","0.8","5.41939854621887"
"49","17","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.5659835","0.455457065614092","0.109","0.667","0.167","0.267","25.6612808704376"
"50","17","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.06","0.427786","0.57554031469163","0","0.333","1","0.5","17.117561340332"
"51","17","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.55151","0.522456281439231","0.005","0.333","0.667","0.444","9.92143774032593"
"52","18","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.548246","0.438975873518041","0.331","0.444","0.062","0.11","11.6369984149933"
"53","18","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.12","0.5964055","0.572052262773199","0","0",NA,"0","15.935950756073"
"54","18","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.6861155","0.503668896694506","0","0",NA,"0","10.3337976932526"
"55","19","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.2808","0.40753944674936","0.228","0.2","0.047","0.075","21.7816157341003"
"56","19","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.08","0.8362","0.542467903516187","0","0",NA,"0","15.2132005691528"
"57","19","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.7701","0.486624408080217","0","0",NA,"0","7.96551728248596"
"58","20","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.4974545","0.427022772906964","0.137","0.571","0.138","0.222","26.7298119068146"
"59","20","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.09","0.5722245","0.539657253024682","0","0.286","1","0.444","17.3879423141479"
"60","20","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.06","0.812325","0.484063017708082","0.016","0.714","0.625","0.667","8.79970765113831"
"61","21","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.11","0.4221525","0.422500063684019","0.184","0.364","0.108","0.167","18.0528612136841"
"62","21","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.09","0.491816","0.549996391882556","0","0.273","1","0.429","8.65927052497864"
"63","21","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.6796535","0.495779323290848","0","0.364","1","0.533","8.21214270591736"
"64","22","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.58695","0.425354110598438","0.2","0.6","0.143","0.231","11.1172723770142"
"65","22","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.63115","0.560760095933541","0","0.2","1","0.333","13.9661538600922"
"66","22","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.72705","0.503382366731616","0","0",NA,"0","10.9011270999908"
"67","23","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.400719","0.45893436305188","0.143","0.467","0.219","0.298","27.2011036872864"
"68","23","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.12","0.5861265","0.579644887623415","0.006","0.467","0.875","0.609","16.532338142395"
"69","23","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.5880975","0.52771985801351","0.029","0.467","0.583","0.519","12.5278007984161"
"70","24","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.487846","0.458837655730263","0.103","0.5","0.136","0.214","33.1574728488922"
"71","24","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.06","0.822653","0.552511834532735","0.005","0.833","0.833","0.833","16.0923132896423"
"72","24","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.06","0.882903","0.508693923301583","0.005","0.5","0.75","0.6","11.1415886878967"
"73","25","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.3590755","0.462556331342194","0.151","0.273","0.1","0.146","10.7067887783051"
"74","25","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.458143","0.580022689424726","0.011","0.364","0.667","0.471","9.60684204101562"
"75","25","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.6612965","0.527203810345602","0.011","0.364","0.667","0.471","7.11463785171509"
"76","26","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.4519","0.456892065597241","0.15","0.6","0.182","0.279","14.1467127799988"
"77","26","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.8596","0.549912812690192","0","0.4","1","0.571","9.31547665596008"
"78","26","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.8321","0.512765708845591","0","0.3","1","0.462","10.5420126914978"
"79","27","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.06","0.627","0.466012175513884","0.092","0.4","0.105","0.167","13.7448360919952"
"80","27","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.17","0.6024","0.585278081891876","0","0",NA,"0","8.83349299430847"
"81","27","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.7129","0.522558170076218","0","0",NA,"0","6.73945808410645"
"82","28","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.5422405","0.492489780489742","0.127","0.556","0.179","0.27","18.9230077266693"
"83","28","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.6861795","0.593807561951667","0.011","0.444","0.667","0.533","17.9277942180634"
"84","28","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.580318","0.552073838953679","0.006","0.556","0.833","0.667","12.3012955188751"
