"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"36","18","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.742856","0.656664858918685","0.005","0.833","0.833","0.833","35.5835599899292"
"37","19","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.622","0.681888612763813","0.017","0.7","0.7","0.7","1.74245619773865"
"38","19","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.56145","0.737557900625588","0.028","0.7","0.583","0.636","24.1887600421906"
"39","20","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.6179725","0.668502745229571","0.017","0.778","0.7","0.737","2.5629768371582"
"40","20","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.6127025","0.709236110963624","0.011","0.556","0.714","0.625","25.5053336620331"
"41","21","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.8237705","0.659482775394753","0","0.75","1","0.857","2.34953689575195"
"42","21","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.743479","0.705574636048945","0.006","0.833","0.909","0.87","35.4053590297699"
"43","22","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.8638225","0.680225878836086","0.006","0.545","0.857","0.667","2.35549116134644"
"44","22","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.787199","0.735387512456846","0.039","0.818","0.562","0.667","32.4261193275452"
"45","23","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.7637","0.599617712067868","0.027","0.8","0.444","0.571","2.15821409225464"
"46","23","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.7318","0.654831812502839","0.032","0.8","0.4","0.533","32.308500289917"
"47","24","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.7244","0.658297794293717","0.006","0.5","0.833","0.625","2.68747401237488"
"48","24","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.6439","0.703046679493232","0.006","0.5","0.833","0.625","27.6250030994415"
"49","25","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7052095","0.655157389029541","0.017","0.667","0.667","0.667","1.44099402427673"
"50","25","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.708673","0.69649604603125","0.006","0.556","0.833","0.667","23.4550740718842"
