"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"234","19","300","20","erdos_renyi","species","species_6","PLN","BIC","0.09","0.8597","0.508001025220664","0.005","0.4","0.667","0.5","2.58534717559814"
"235","19","300","20","erdos_renyi","species","species_6","ZIPLN","BIC","0.06","0.7073","0.602358484351143","0.022","0.6","0.429","0.5","1.56641292572021"
"236","20","300","20","erdos_renyi","species","species_6","PLN","BIC","0.07","0.7381875","0.509980478261227","0","0",NA,"0","2.3793842792511"
"237","20","300","20","erdos_renyi","species","species_6","ZIPLN","BIC","0.05","0.526085","0.568767949596398","0.005","0.333","0.667","0.444","1.33039617538452"
"238","1","300","20","community","species","species_1","PLN","BIC","0.07","0.8550775","0.609080433959854","0.022","0.714","0.556","0.625","2.42477989196777"
"239","1","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.806685","0.685255429073117","0.011","0.571","0.667","0.615","3.20254921913147"
"240","2","300","20","community","species","species_1","PLN","BIC","0.09","0.844645","0.649566022915244","0.028","0.818","0.643","0.72","1.2796905040741"
"241","2","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.788212","0.700179664964455","0.022","0.636","0.636","0.636","5.26578664779663"
"242","3","300","20","community","species","species_1","PLN","BIC","0.11","0.6803085","0.690133024675344","0","0.556","1","0.714","3.05098724365234"
"243","3","300","20","community","species","species_1","ZIPLN","BIC","0.13","0.6246","0.774385748830973","0.07","0.611","0.478","0.537","8.43729281425476"
"244","4","300","20","community","species","species_1","PLN","BIC","0.11","0.7533145","0.671958389999913","0.023","0.429","0.6","0.5","2.03834319114685"
"245","4","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.6538315","0.739051525687967","0.051","0.786","0.55","0.647","4.41370177268982"
"246","5","300","20","community","species","species_1","PLN","BIC","0.1","0.8771565","0.61530813200313","0.028","0.667","0.615","0.64","2.25905871391296"
"247","5","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.8045795","0.667758323828507","0.079","1","0.462","0.632","5.27839088439941"
"248","6","300","20","community","species","species_1","PLN","BIC","0.1","0.744643","0.614311635740454","0.046","0.625","0.556","0.588","2.63897585868835"
"249","6","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.557551","0.713466011354314","0.057","0.812","0.565","0.667","4.92901873588562"
"250","7","300","20","community","species","species_1","PLN","BIC","0.1","0.881003","0.607030071381547","0.023","0.846","0.733","0.786","2.24905395507812"
"251","7","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.754337","0.692830096212929","0.017","0.846","0.786","0.815","3.53916001319885"
"252","8","300","20","community","species","species_1","PLN","BIC","0.08","0.7533975","0.624267303400918","0.022","0.778","0.636","0.7","1.45667052268982"
"253","8","300","20","community","species","species_1","ZIPLN","BIC","0.05","0.6812005","0.684650416901709","0.022","0.556","0.556","0.556","2.8351902961731"
"254","9","300","20","community","species","species_1","PLN","BIC","0.09","0.6846985","0.649133143862855","0.028","0.636","0.583","0.609","2.62492036819458"
"255","9","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.632119","0.754373401540463","0.022","0.727","0.667","0.696","3.6522388458252"
"256","10","300","20","community","species","species_1","PLN","BIC","0.08","0.698321","0.614029846709477","0.006","0.364","0.8","0.5","2.2130389213562"
"257","10","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.815268","0.67812540732161","0.017","0.545","0.667","0.6","3.45022535324097"
"258","11","300","20","community","species","species_1","PLN","BIC","0.1","0.7781505","0.576733943003578","0.067","0.909","0.455","0.606","3.18990707397461"
"259","11","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.719673","0.672953524639449","0.05","0.909","0.526","0.667","2.73069477081299"
"260","12","300","20","community","species","species_1","PLN","BIC","0.09","0.8029185","0.658747730592084","0","0",NA,"0","2.11271691322327"
"261","12","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.7172885","0.707043787421312","0.079","0.769","0.417","0.541","3.68163800239563"
"262","13","300","20","community","species","species_1","PLN","BIC","0.07","0.7494375","0.606203228831519","0.005","0.375","0.75","0.5","2.02718210220337"
"263","13","300","20","community","species","species_1","ZIPLN","BIC","0.05","0.7461875","0.672335252297496","0.011","0.75","0.75","0.75","2.22194123268127"
"264","14","300","20","community","species","species_1","PLN","BIC","0.1","0.7133","0.659845838732167","0","0.4","1","0.571","1.07530546188354"
"265","14","300","20","community","species","species_1","ZIPLN","BIC","0.08","0.6981","0.73401310919204","0","0.5","1","0.667","1.59487366676331"
"266","15","300","20","community","species","species_1","PLN","BIC","0.1","0.737541","0.67882585247329","0","0.25","1","0.4","1.23416686058044"
"267","15","300","20","community","species","species_1","ZIPLN","BIC","0.07","0.8049335","0.750434467921668","0.006","0.5","0.857","0.632","1.39814329147339"
"268","16","300","20","community","species","species_1","PLN","BIC","0.08","0.8657595","0.623423440498435","0.011","0.455","0.714","0.556","2.25120043754578"
"269","16","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.823046","0.682986985811609","0.006","0.455","0.833","0.588","2.56293368339539"
"270","17","300","20","community","species","species_1","PLN","BIC","0.07","0.7328","0.65153637858631","0.006","0.4","0.8","0.533","1.77521586418152"
"271","17","300","20","community","species","species_1","ZIPLN","BIC","0.05","0.7742","0.698741791651026","0.033","0.6","0.5","0.545","3.26109719276428"
"272","18","300","20","community","species","species_1","PLN","BIC","0.12","0.803694","0.599421630441088","0.017","0.538","0.7","0.609","2.11260771751404"
"273","18","300","20","community","species","species_1","ZIPLN","BIC","0.06","0.5856635","0.726501659200143","0.068","0.769","0.455","0.571","3.42479872703552"
